Frame,Target_ID,CX,CY,Area,IoU_Similarity,RD,BMS,Final_Result
147,0,152,151,2643.5,0.7886,0.21,0.16,1
148,0,154,150,2258.0,0.8346,0.33,0.14,1
149,0,156,147,2378.0,0.7855,0.3,0.12,1
150,0,156,147,2378.0,0.0,0.3,0.12,0
151,0,156,147,2548.5,0.8114,0.52,0.08,1
152,0,153,149,3176.5,0.7564,0.58,0.08,1
153,0,150,154,3638.5,0.7743,0.6,0.08,1
154,0,150,154,3367.0,0.8321,0.54,0.06,1
155,0,148,155,4068.5,0.7776,0.49,0.05,1
156,0,148,155,4068.5,0.0,0.49,0.05,0
157,0,149,154,3694.0,0.8943,0.41,0.05,0
158,0,151,153,3639.0,0.8847,0.47,0.05,0
159,9,113,220,33.0,-1,0.0,0.0,1
159,0,153,152,3369.5,0.8495,0.34,0.04,1
160,9,120,218,39.0,0.0,0.0,0.0,0
160,0,153,152,3337.0,0.8189,0.15,0.03,1
161,0,153,152,3310.5,0.8489,0.08,0.03,1
161,9,120,218,39.0,0.0,0.0,0.0,0
162,0,153,152,3310.5,0.0,0.08,0.03,0
162,9,120,218,39.0,0.0,0.0,0.0,0
163,0,155,150,3208.0,0.8385,0.12,0.03,1
163,9,120,218,39.0,0.0,0.0,0.0,0
164,0,157,149,3071.5,0.895,0.19,0.03,0
164,9,120,218,39.0,0.0,0.0,0.0,0
165,0,158,147,2872.5,0.8999,0.18,0.03,0
165,9,120,218,39.0,0.0,0.0,0.0,0
166,0,158,147,2535.0,0.8604,0.08,0.03,1
166,9,120,218,39.0,0.0,0.0,0.0,0
167,0,160,146,2195.5,0.8078,0.15,0.03,1
167,9,120,218,39.0,0.0,0.0,0.0,0
168,0,160,146,2195.5,0.0,0.15,0.03,0
168,9,120,218,39.0,0.0,0.0,0.0,0
169,0,162,143,2495.0,0.7715,0.4,0.03,1
170,0,162,143,2345.5,0.7853,0.77,0.03,1
171,10,158,221,36.0,-1,0.0,0.0,0
171,0,163,146,2788.0,0.7941,0.62,0.03,1
172,10,173,221,33.5,0.0,0.0,0.0,0
172,0,164,148,3321.0,0.7741,0.71,0.03,1
173,0,163,148,3544.5,0.7353,0.63,0.03,1
173,10,173,221,33.5,0.0,0.0,0.0,0
174,0,163,148,3544.5,0.0,0.63,0.03,0
174,10,173,221,33.5,0.0,0.0,0.0,0
175,11,176,205,445.5,-1,0.0,0.0,1
175,0,162,145,3248.5,0.8396,0.55,0.03,1
175,10,173,221,33.5,0.0,0.0,0.0,0
176,0,163,154,3895.0,0.6683,0.32,0.04,1
176,11,176,205,445.5,0.0,0.0,0.0,0
176,10,173,221,33.5,0.0,0.0,0.0,0
177,0,163,161,4771.0,0.7289,0.35,0.05,1
177,11,176,205,445.5,0.0,0.0,0.0,0
177,10,173,221,33.5,0.0,0.0,0.0,0
178,0,163,163,4725.5,0.7938,0.36,0.05,1
178,11,176,205,445.5,0.0,0.0,0.0,0
178,10,173,221,33.5,0.0,0.0,0.0,0
179,10,168,226,60.5,0.0382,0.0,0.0,0
179,0,160,156,4179.5,0.7186,0.17,0.05,1
179,11,176,205,445.5,0.0,0.0,0.0,0
180,10,168,226,60.5,0.0,0.0,0.0,0
180,0,160,156,4179.5,0.0,0.17,0.05,0
180,11,176,205,445.5,0.0,0.0,0.0,0
181,10,155,225,125.5,0.0,0.0,0.0,0
181,0,157,151,4344.5,0.6932,0.04,0.06,1
181,11,176,205,445.5,0.0,0.0,0.0,0
182,0,154,156,5202.0,0.7272,0.19,0.06,1
182,10,155,225,125.5,0.0,0.0,0.0,0
182,11,176,205,445.5,0.0,0.0,0.0,0
183,0,149,160,6572.0,0.723,0.27,0.06,1
183,10,155,225,125.5,0.0,0.0,0.0,0
183,11,176,205,445.5,0.0,0.0,0.0,0
184,11,152,220,538.5,0.0,0.0,0.0,0
184,0,146,155,5889.5,0.7753,0.27,0.07,1
184,10,155,225,125.5,0.0,0.0,0.0,0
185,0,143,162,7020.0,0.7355,0.4,0.07,1
185,11,152,220,538.5,0.0,0.0,0.0,0
185,10,155,225,125.5,0.0,0.0,0.0,0
